phone_id,location_date,latitude,longitude
50,2022-11-01 00:00:42.0,39.5208981700,2.4939506800
33,2022-11-01 00:00:53.0,39.5355886000,2.5707127000
23,2022-11-01 00:00:59.0,39.5098935400,2.5293941600
50,2022-11-01 00:01:47.0,39.5103059400,2.4878157300
33,2022-11-01 00:01:56.0,39.5355295000,2.5706712000
23,2022-11-01 00:02:02.0,39.5098498600,2.5294756700
50,2022-11-01 00:02:54.0,39.5093698700,2.4741322800
33,2022-11-01 00:02:58.0,39.5355555000,2.5706751000
23,2022-11-01 00:03:05.0,39.5098515500,2.5295010800
50,2022-11-01 00:03:59.0,39.5119884400,2.4687309500
33,2022-11-01 00:04:01.0,39.5355878000,2.5706606000
23,2022-11-01 00:04:08.0,39.5098817700,2.5294277100
14,2022-11-01 00:04:54.0,39.5138203000,2.5326983000
33,2022-11-01 00:05:03.0,39.5355911000,2.5706803000
50,2022-11-01 00:05:03.0,39.5118790500,2.4686380800
23,2022-11-01 00:05:11.0,39.5098136500,2.5294451800
14,2022-11-01 00:05:56.0,39.5179442000,2.5329472000
33,2022-11-01 00:06:06.0,39.5356188000,2.5706784000
50,2022-11-01 00:06:07.0,39.5119158600,2.4686478300
23,2022-11-01 00:06:14.0,39.5099059800,2.5294563900
14,2022-11-01 00:06:58.0,39.5150735000,2.5376558000
33,2022-11-01 00:07:09.0,39.5355745000,2.5706801000
50,2022-11-01 00:07:10.0,39.5119073300,2.4686616100
23,2022-11-01 00:07:17.0,39.5098640500,2.5294899800
14,2022-11-01 00:08:00.0,39.5107838000,2.5365010000
33,2022-11-01 00:08:11.0,39.5356154000,2.5707231000
50,2022-11-01 00:08:14.0,39.5119413800,2.4686673400
23,2022-11-01 00:08:19.0,39.5098272700,2.5294716900
14,2022-11-01 00:09:02.0,39.5179442000,2.5329472000
33,2022-11-01 00:09:14.0,39.5356323000,2.5707421000
50,2022-11-01 00:09:17.0,39.5118687000,2.4686901000
23,2022-11-01 00:09:22.0,39.5098128900,2.5294886900
14,2022-11-01 00:10:04.0,39.5142466400,2.5320260100
33,2022-11-01 00:10:17.0,39.5355984000,2.5706891000
50,2022-11-01 00:10:21.0,39.5119134000,2.4686427700
23,2022-11-01 00:10:25.0,39.5098888200,2.5295366700
14,2022-11-01 00:11:03.0,39.5129967000,2.5318836000
33,2022-11-01 00:11:19.0,39.5360633000,2.5706651000
50,2022-11-01 00:11:25.0,39.5118938300,2.4686530600
23,2022-11-01 00:11:28.0,39.5098714700,2.5293533200
14,2022-11-01 00:12:06.0,39.5118662000,2.5301613000
33,2022-11-01 00:12:22.0,39.5359682000,2.5706770000
50,2022-11-01 00:12:30.0,39.5118632400,2.4689941700
23,2022-11-01 00:12:31.0,39.5098391300,2.5295172300
14,2022-11-01 00:13:08.0,39.5104996000,2.5317014000
33,2022-11-01 00:13:25.0,39.5359798000,2.5706592000
23,2022-11-01 00:13:34.0,39.5098515500,2.5295537100
